timestamp,step,n_created,n_alive,n_dead,dead_agents,notes
2026-08-27T07:30:30Z,step,1,1,0,"","wl=OK"
2026-08-27T07:30:52Z,step,2,2,0,"","wl=OK"
2026-08-27T07:31:10Z,step,3,3,0,"","wl=OK"
2026-08-27T07:31:29Z,step,4,4,0,"","wl=OK"
2026-08-27T07:32:04Z,step,5,5,0,"","wl=OK"
2026-08-27T07:32:26Z,step,6,6,0,"","wl=OK"
2026-08-27T07:32:48Z,step,7,7,0,"","wl=OK"
2026-08-27T07:33:17Z,step,8,8,0,"","wl=OK"
2026-08-27T07:33:42Z,step,9,9,0,"","wl=OK"
2026-08-27T07:34:07Z,step,10,9,1,"w-1","wl=OK"
2026-08-27T07:38:30Z,step,11,10,1,"w-1","wl=OK"
2026-08-27T07:40:01Z,step,12,11,1,"w-1","wl=OK"
2026-08-27T07:41:37Z,step,13,12,1,"w-1","wl=OK"
2026-08-27T07:41:37Z,DRIFT,13,12,1,"w-1","4+ consecutive steps with deaths"
2026-08-27T07:46:10Z,step,14,13,1,"w-1","wl=OK"
2026-08-27T07:48:05Z,step,15,14,1,"w-1","wl=OK"
2026-08-27T07:50:28Z,create_fail,16,,,,FAIL:503
2026-08-27T07:51:33Z,step,16,15,1,"w-1","w-16 created (took 68s). Passed liveness. INSTANCE CRASHED 1 second later"
2026-08-27T07:51:38Z,CRASH,16,0,16,"ALL","Container received termination signal. All state lost."
